"claim_id","claim","source_domains","report_coverage","original_study","author_year","country","population","age_range","sample_size","topic_domain","research_design","predictor_iv","outcome_dv","effect_size","direction","confidence","limitations","causal","replicated","indonesia_specific","male_specific","wording_manipulated","evidence_concerns","evidence_category","mechanism_cluster","male_specificity_class"
"C089","Indonesian grooming brands combine technical/ingredient information with peer register and softening particles in the same sentence ('serumnya cukup untuk seluruh wajah lo kok, Men'; 'nggak ribet').","D2","1","Garnier Men / GATSBY / NIVEA MEN Indonesian corpus","Brand corpus (2024-2026)","Indonesia","Indonesian male consumers","18-35","Primary-source corpus","Communication practice","Corpus observation","Register mixing","(none measured)","n/a","Informational directness and social softness are independent","OBSERVED PRACTICE; STRONG as a descriptive pattern","Brand copy is not evidence of preference or effectiveness","No","n/a","YES","Yes (male-targeted)","No","observed usage","E","INFORMATIONAL DIRECTNESS vs SOCIAL SOFTNESS","INDONESIA-CONFIGURED"
"C090","Indonesian male-targeted brands construct masculinity in mutually incompatible ways within one market: proof-of-manhood challenge ('Laki Buktikan'), technical status ('tangguh', 'gagah'), and care+community+purpose (Kahf's care, confidence, community).","D2","1","Extra Joss / Toyota / Yamaha / Kahf Indonesian corpus","Brand corpus (2024-2026)","Indonesia","Indonesian male consumers","18-45","Primary-source corpus","Communication practice","Corpus observation","Brand masculine positioning","(none measured)","n/a","There is no single Indonesian male voice","STRONG as descriptive evidence against a universal male register","Industry practice only; no consumer-preference test","No","n/a","YES","Yes","No","observed usage","E","(pluralisation evidence)","INDONESIA-CONFIGURED"
"C091","Indonesian male mental-health initiatives are already using permission and normalisation formulations ('khusus laki-laki', 'boleh cerita', 'ruang aman').","D2","1","Ruang MENdukung and similar Indonesian male spaces","Indonesian male support initiatives (2024-2026)","Indonesia","Indonesian men","Adult","Primary-source corpus","Communication practice","Corpus observation","Permission framing","(none measured)","n/a","Organisations are deliberately lowering entry cost","OBSERVED PRACTICE; NO published Indonesian evaluation exists","No randomised Indonesian evaluation of any of these formulations was located in any source report","No","n/a","YES","Yes","No","observed usage","E","LOW EXPOSURE COST","INDONESIA-CONFIGURED"
"C092","Gender stereotyping in advertising can itself cause reactance and worse brand responses.","D1","1","Akestam et al. advertising experiments","Akestam et al. (2021)","Sweden/Western","Advertising audiences","Adult","Multiple experimental studies","Consumer behaviour","Experiments","Stereotyped vs non-stereotyped portrayal","Reactance; brand response","Stereotyping increased reactance","Negative","MODERATE-HIGH","Not exclusively male-targeted communication","Yes","Partly","No","No","YES","attitude","A","STEREOTYPE REACTANCE","GENERAL"
"C093","Korean men's help-seeking reflects loss-of-face concerns acting through self-stigma alongside conformity to masculine norms.","D1","1","Kim & Kim SEM study","Kim & Kim (2025)","South Korea","Korean men","19-59","341 recruited; 322 analysed","Masculinity & help-seeking","Online survey + structural equation modelling","Conformity to masculine norms; loss of face","Self-stigma; help-seeking attitudes","Masculinity -> self-stigma beta=.30; -> attitudes beta~-.38; face acts via self-stigma","Reputation adds to autonomy as a barrier","MODERATE","Cross-sectional; educated online sample; Korean chemyon must NOT be renamed malu/gengsi and applied to Indonesia","No","No","No","Yes","No","attitude;self-stigma","B","FACE;REPUTATION;STIGMA","(East Asian configuration; NOT transferable to Indonesia without test)"
"C094","Sport supplies a socially sanctioned container for male emotional expression organised as emotion -> shared object -> collective action -> belonging, rather than emotion -> individual confession -> psychological label.","D1;D2","2","Cross-report inference from sports corpora and sports-based intervention literature","(cross-report inference)","UK/Australia/Indonesia","Male-heavy sporting publics","Adult","Corpus + realist review","Communication practice","Cross-report inference from observed patterns","Sport as emotional intermediary","Emotional expression legitimacy","Not quantified","Structural affordance of the setting","CROSS-REPORT INFERENCE; explicitly NOT demonstrated as a male requirement","Sports audiences are not male-only; competition/comeback rhetoric is generated by the structure of sport itself, not male psychology","No","Converges across two domains","Partly","NO (setting effect, not male trait)","No","observed usage","G","BELONGING;LEGITIMISED EMOTION","SOCIAL-CONTEXT"
"C095","Across independent domains, communication appears to work partly by LOWERING the social and identity cost of accepting the message rather than by increasing emotional intensity.","D1;D2;D3;D4;D5;D7","6","Cross-report convergence: permission framing, Men's Sheds, ALEC, Talk Club, autonomy-supportive brochure, manosphere validation, nongkrong yuk, Indonesian permission copy","(cross-report inference)","Multiple","Men","Adult","Convergence across all six source domains","Cross-domain mechanism","Cross-report inference","Perceived cost of accepting/responding to a message","Engagement; disclosure; help-seeking","Not quantified as a single parameter","Cost reduction is the most cross-domain-recurrent mechanism in this corpus","CROSS-REPORT INFERENCE (strong breadth, no direct test of the construct)","'Response cost' has never been directly operationalised or manipulated in any study located; this is a synthesised construct requiring empirical testing","No","Recurs across 6/7 domains","Partly","SOCIAL-CONTEXT (general mechanism, male-relevant because masculine norms raise the cost)","No","n/a","G","RESPONSE COST","SOCIAL-CONTEXT"
"C096","Across independent domains, agency/actionability and belonging/social identity recur as the two most consistently supported mechanisms, while emotional intensity does not.","D1;D2;D3;D4;D6;D7","6","Cross-report convergence: FFIT, sports realist review, Leach petition study, manosphere value proposition ranking, Sagar-Ouriaghli BCTs, dissertation community finding","(cross-report inference)","Multiple","Men and general audiences","Adult","Convergence across six domains","Cross-domain mechanism","Cross-report inference","Agency/efficacy and belonging language vs emotional intensity","Behaviour and engagement","Leach study supplies the only large behavioural discrimination","Agency and belonging outperform outrage for costly action","CROSS-REPORT INFERENCE supported by one strong behavioural dataset","Only the petition dataset separates reach from conversion at scale, and it is observational","No","Recurs across 6/7 domains","Partly","GENERAL mechanism; male-relevant via masculine norms","No","n/a","G","AGENCY;BELONGING","GENERAL"
"C097","No neural-level explanation is necessary or sufficiently supported for any communication mechanism in this corpus.","D1;D2;D5","3","Explicit negative finding across source reports","(explicit statements in source reports)","n/a","n/a","n/a","n/a","Neuroscience","Negative finding","Neuroscientific explanation","Explanatory value","No source report located robust neural evidence bearing on wording effects","Neuroscience adds nothing here","STRONG (as a negative finding)","Absence of located evidence, not proof of absence; but no report offered any neural claim above decoration","No","n/a","No","No","No","n/a","G","(none)","GENERAL"
"C098","Evolutionary psychology is used extensively as RHETORIC in manosphere content but adds no demonstrated explanatory value beyond social and cultural mechanisms in this corpus.","D3;D4;D5","3","Manosphere rhetoric analysis + precarious manhood cross-cultural variation","Haslop et al. (2024); Fisher et al. (2026); Bosson et al. (2021)","Multiple","Manosphere audiences; 62 nations","Adult","Content analysis + cross-cultural survey","Evolutionary psychology","Content analysis + cross-cultural comparison","Evolutionary/biological justification","Persuasion; belief","Cross-national variation in precarious manhood beliefs contradicts strong universality","Ultimate-level claims are not needed and are often misused","STRONG that evolutionary rhetoric is used; WEAK that it explains anything additional","Evidence that scientific-sounding language causally persuades manosphere audiences is limited (EMERGING at best)","No","n/a","No","Yes","No","observed usage","D/F","FALSE CERTAINTY;NATURALISATION","GENERAL"
"C099","Manosphere ideology takes real average tendencies, inequalities or selection effects and inflates them into deterministic total theories.","D3","1","Bruch & Newman dating desirability; hypergamy demographic literature","Bruch & Newman (2018); assortative mating literature","US/multinational","Online daters; married populations","Adult","Four US dating markets; cross-national demographic data","Manosphere epistemics","Observational network analysis + demography","Real inequality vs ideological generalisation","Claim accuracy","Desirability hierarchies are real; the universal 80/20 rule and universal hypergamy are not; educational hypogamy has risen","Real premise, false totalisation","STRONG","Dating-app metrics are not real-world relationship formation; preferences do not determine matching because market composition changes","No","Yes","No","No","No","observed usage","B/F","FALSE CERTAINTY","GENERAL"
"C100","Perceived unavailability of positive male-specific attention in mainstream discourse is documented as a PERCEPTION, not as an objective institutional failure.","D3","1","Ofcom qualitative findings","Ofcom (2025)","UK","Men across exposure levels","Adult","38 men + 1 woman","Manosphere","Qualitative","Perceived mainstream discourse on masculinity","Perceived relevance; motivation to seek alternatives","Not quantified","The perceived communication gap is itself part of the demand","MODERATE for the perception; WEAK for any claim that institutions are objectively hostile to men","Self-report of perception only; must not be converted into a claim that schools/therapists/media 'hate men'","No","Partly","No","Yes","No","preference","C","RECOGNITION;MALE-SPECIFIC ATTENTION","SOCIAL-CONTEXT"
